,Prev Close,Moving Average 5,Moving Average 10
234,-0.7727667829294559,-0.7728231948165004,-0.7727579334711975
235,-0.7727667829294559,-0.7728104188677148,-0.7727694446529461
236,-0.7727667829294559,-0.7727618624643254,-0.7727630500957849
237,-0.7725879511334458,-0.7727260840961441,-0.7727515389140365
238,-0.7726518161405016,-0.772703081676748,-0.7727221237553241
239,-0.7726518161405016,-0.772703081676748,-0.7727157302422789
240,-0.7727667829294559,-0.772703081676748,-0.7727093367292338
241,-0.7727667829294559,-0.7727388621313521,-0.7727029432161887
242,-0.7727667829294559,-0.7728050399395151,-0.7727181561149997
243,-0.7729825748304269,-0.7728712177476781,-0.7727397625268557
244,-0.7729825748304269,-0.7729374705366578,-0.7727729176433747
245,-0.7730979163757752,-0.7729806459254249,-0.7727945240552307
246,-0.7729825748304269,-0.7729879264975418,-0.7728160732364856
247,-0.7728031714494471,-0.7729879264975418,-0.7728491908300902
248,-0.7729825748304269,-0.7729161346474176,-0.7728463813752998
249,-0.772623756988713,-0.7728212653970806,-0.7728320607387611
250,-0.772623756988713,-0.7727725515991763,-0.7728292891331715
251,-0.7727391017928126,-0.7727725515991763,-0.7728329325755167
252,-0.7728031714494471,-0.7727725515991763,-0.7728329325755167
253,-0.7729825748304269,-0.7728674208495134,-0.7728444812801794
254,-0.7730979163757752,-0.7729622900998505,-0.7728444812801794
255,-0.7730979163757752,-0.7730110038977547,-0.7728444812801794
256,-0.7729825748304269,-0.7730468987144047,-0.7728624442496903
257,-0.7729825748304269,-0.7730468987144047,-0.7728624442496903
258,-0.7729825748304269,-0.7730110016809304,-0.7728919559238637
259,-0.7729185019150412,-0.7729520294640677,-0.7729099200027478
260,-0.7728031714494471,-0.7729161346474176,-0.7729163350506828
261,-0.7728031714494471,-0.7728802398307676,-0.7729163350506828
262,-0.7728031714494471,-0.7728674201975063,-0.7729099196764616
263,-0.7729185019150412,-0.7728674201975063,-0.7728919555975775
264,-0.7729185019150412,-0.7729263924143692,-0.7728919555975775
265,-0.7730979163757752,-0.772985364631232,-0.7729035043022403
266,-0.7730979163757752,-0.7730443368480948,-0.772915053006903
267,-0.7730979163757752,-0.773080233881569,-0.7729266017115658
268,-0.7730979163757752,-0.7730930535148303,-0.772933017085787
269,-0.7729825748304269,-0.7730571564813562,-0.7729445646810765
270,-0.7729185019150412,-0.7730340790811433,-0.7729625276505875
271,-0.7729825748304269,-0.7729751068642805,-0.7729625276505875
272,-0.7728031714494471,-0.7728802376139435,-0.7729330159764138
273,-0.772623756988713,-0.7727956257393537,-0.7728970887322473
274,-0.7725596821180765,-0.7727366535224908,-0.7728496129791897
275,-0.772623756988713,-0.7727238338892295,-0.7728316489003058
276,-0.7729185019150412,-0.7727238338892295,-0.7728021372261323
277,-0.7728031714494471,-0.7727238338892295,-0.7727546614730747
278,-0.772623756988713,-0.7727366539136952,-0.7727187344246799
279,-0.772623756988713,-0.7727366539136952,-0.7726892227505062
280,-0.772623756988713,-0.7726648616723666,-0.7726468801321186
281,-0.7725596821180765,-0.7725802494065726,-0.772604537317959
282,-0.772380276781846,-0.7725546088360358,-0.7725917059169439
283,-0.772495604640439,-0.7725289682654988,-0.772585290085922
284,-0.772495604640439,-0.7725289682654988,-0.772585290085922
285,-0.772623756988713,-0.7725289682654988,-0.7725493628417555
286,-0.7725596821180765,-0.7725648634733532,-0.7725249831928785
287,-0.7725596821180765,-0.7725776840194245,-0.7725185676228855
288,-0.7725596821180765,-0.7726033245899613,-0.7725185676228855
289,-0.772623756988713,-0.7725905045654957,-0.7725121520528925
290,-0.7725596821180765,-0.7726033245899613,-0.7725185676228855
291,-0.772623756988713,-0.772616144614427,-0.772542946358161
292,-0.772623756988713,-0.7726520426911124,-0.7725673267901249
293,-0.7727391017928126,-0.7727110149079753,-0.7726096698653134
294,-0.7729185019150412,-0.7727828071493037,-0.772639181539487
295,-0.7729185019150412,-0.7728545989994279,-0.7726815241578748
296,-0.7729825748304269,-0.7729263908495521,-0.7727238667762627
297,-0.7729825748304269,-0.7729981820476691,-0.7727777580993133
298,-0.7730979163757752,-0.7730340790811433,-0.7728252338523707
299,-0.7730979163757752,-0.7730699761146176,-0.7728791251754212
300,-0.7730979163757752,-0.7730930535148303,-0.7729266009284789
301,-0.7730979163757752,-0.7730930535148303,-0.7729625279768737
302,-0.7729825748304269,-0.7730699761146176,-0.7729869059943195
303,-0.7729825748304269,-0.7730110038977547,-0.77297535839903
304,-0.7728031714494471,-0.7729751068642805,-0.77297535839903
305,-0.7729185019150412,-0.7729459013797062,-0.772972291700191
306,-0.7729519464791504,-0.772926905152755,-0.7729627853514367
307,-0.7728876311126714,-0.7729207770683937,-0.7729481699479351
308,-0.7729519464791504,-0.7729376756580925,-0.7729271148945182
309,-0.7728876311126714,-0.7729314990644027,-0.7729060598411012
310,-0.7728876311126714,-0.7728954705862965,-0.7728734145794155
311,-0.7727718750541638,-0.7728954705862965,-0.7728639082306612
312,-0.7728876311126714,-0.7728826024437068,-0.7728544018819069
313,-0.7728876311126714,-0.7728954705862965,-0.7728692981525789
314,-0.7729519464791504,-0.7728723102507802,-0.7728546169697772
315,-0.7727718750541638,-0.7728594409345776,-0.7728301468743626
316,-0.7727075538219325,-0.7728234112828587,-0.7728121164288633
317,-0.7727075538219325,-0.7727642198612077,-0.7727760554073503
318,-0.772591790594172,-0.7726792942407998,-0.7727399954299532
319,-0.7725274856556971,-0.7726175272606899,-0.7726974949542965
320,-0.7724631618164648,-0.7725326011186764,-0.7726485548287245
321,-0.7722830903914781,-0.7724245145107451,-0.7725764342213578
322,-0.7721673336812203,-0.772375617238042,-0.7725223430153744
323,-0.7723474005439551,-0.7723627474002338,-0.7724734028898025
324,-0.7724631618164648,-0.7723627474002338,-0.7724424926224145
325,-0.7724631618164648,-0.7723627474002338,-0.7723999927340731
326,-0.7722830903914781,-0.7723859078661516,-0.7723574928457316
327,-0.7722830903914781,-0.772373040766773,-0.7723265838834886
328,-0.7722830903914781,-0.7723498793880454,-0.7723085526549024
329,-0.7723474005439551,-0.7723267180093176,-0.7722969619245756
330,-0.7723474005439551,-0.7723267180093176,-0.7722969619245756
331,-0.7722830903914781,-0.772339585108696,-0.772314991325959
332,-0.7723474005439551,-0.7723756135868022,-0.7723265820562857
333,-0.7724631618164648,-0.7723756135868022,-0.772314991325959
334,-0.7723474005439551,-0.7723756135868022,-0.7723034005956324
335,-0.7723474005439551,-0.7723884806861807,-0.7723098397234899
336,-0.7723474005439551,-0.7723884806861807,-0.7723162788513472
337,-0.7723474005439551,-0.7723653193074529,-0.7723227179792046
338,-0.7723474005439551,-0.7723653193074529,-0.7723227179792046
339,-0.7723474005439551,-0.7723653193074529,-0.7723227179792046
340,-0.7723474005439551,-0.7723653193074529,-0.772329157107062
341,-0.7723474005439551,-0.7723524522080746,-0.7723227179792046
342,-0.7722830903914781,-0.7723164246427783,-0.7722930978474946
343,-0.7721673336812203,-0.772280397077482,-0.7722750684461112
344,-0.7721673336812203,-0.7722443695121859,-0.7722570390447278
345,-0.7721673336812203,-0.7722083419468896,-0.7722390096433445
346,-0.7721673336812203,-0.7722083419468896,-0.7722325705154869
347,-0.7722830903914781,-0.7722315024128074,-0.7722261313876295
348,-0.7722830903914781,-0.7722906913568314,-0.7722377221179563
349,-0.7724631618164648,-0.7723627501386635,-0.7722557533465425
350,-0.7725274856556971,-0.7724476749766629,-0.7722802231809281
351,-0.772591790594172,-0.7725326011186764,-0.7723227230692695
352,-0.7727075538219325,-0.7725943654907579,-0.7723652223050386
